FILENAME	SHELFMARK	EXTENT	lang/script	LEAF SIZE	WRITTEN SIZE	subject - 1	subject - 2	MATERIAL	MEDIUM	SCRIPT	HANDS	DECORATION	CONDITION	WRITTEN LINES	LAYOUT	FOLIATION	ADDITIONS	PROVENANCE & ACQUISITION	SUMMARY	WORK NUMBER	ROMANIZED AUTHOR NAME(S)	TIBETAN SCRIPT AUTHOR NAME(S)	ROMANIZED TITLE(S)	TIBETAN SCRIPT TITLE(S)	ROMANIZED MARGIN TITLE(S)	TIBETAN SCRIPT MARGIN TITLE(S)	INCIPIT	EXPLICIT	COLOPHON	NOTES	BIBLOGRAPHIC REFERENCE(S)
UkOxU_016_Manuscript__Tib__b__20_4_(R).xml	MS. Tibet. b. 20.4 (R)	63 ff	bo-Latn-x-EWTS	440 x 70	400 x 60	Jataka stories.		chart	black,red_	dbu med			good	6				S.C. 33637, 33731. 25 Sept. 1905, donation by the Government of India.	The story of a 'Brom ston rGyal ba'i 'Byung gnas as Prince dKon mchog 'bangs	1	a ti sha	ཨ་ཏི་ཤ	grong khyer bde ldan du dge ba'i shen gnyen pa brgyal bu dkon mchogs 'bangs su bsku'i bskye ba bzhes pa'i le'u	གྲོང་ཁྱེར་བདེ་ལྡན་དུ་དགེ་བའི་ཤེན་གཉེན་པ་བརྒྱལ་བུ་དཀོན་མཆོགས་འབངས་སུ་བསྐུའི་བསྐྱེ་བ་བཞེས་པའི་ལེའུ			yang yer pa lha ri snying po 'i mgul na/_ jo bo yab sras gnyis bzhugs pa'i dus su/ rngog legs pa'i shes rab ces bya ba/ bde phrug cig la shes che ba/_gzhung lug rgya mtsho lta bu thugs la mnga' yang /_dad pa'i rdo rjes nga rgyal gyi ri bo bcom nas rgyal ba yab sras la zhus pa/_sngar kyang snying gtam dpag tu med pa thugs la btag/ da dung yang yab sras kyis zhus lan 'di na mar la/_bdag gi yon tan sba bya zhing //_gzhan gyi yon tan bsgrub par bya//_che gsung gda' na /	nang du phyin pa dang /_ji skad gsung ba 4in du/_bsam gyis mi khyab cing /_blos mi 'khyud par gda' ba las/_'jig rten las 'das pa'i dga' ba dang bde ba dpag tu med pa skyed do//_de nas tshogs kyi slob dpon rdo rje 'dzin pa dri ma med pas/_tshogs dang gzhal yas khang thams cad bsam gyis mi ... //		The text is incomplete.	
UkOxU_021_Manuscript__Tib__b_21.xml	MS. Tibet. b. 21	4 ff	bo-Latn-x-EWTS	480 x 80	460 x 55	Mahāmudrā (Tantric rite)		chart	black	dbu med		There is yellow cloth label on the left end of title page with the label, phyag rgya chen po'i khrid yig bzhugs so / 3 /	good					S.C. 33638, 33732. 25 Sept. 1905, donation by the Government of India. 	The Instruction on Mahāmūdra	1	'phrin las bkra shis rgya mtsho		phyag rgya chen po lhan 1 skyes sbyor gyis 'khrid yig gsal 'debs	ཕྱག་རྒྱ་ཆེན་པོ་ལྷན ༡ སྐྱེས་སྦྱོར་གྱིས་འཁྲིད་ཡིག་གསལ་འདེབས			na mo gu ru/_na mo ma hA mu tra ya/_de yang phyag rgya chen po'i 'khrid kyis skabs su/ mthun mong gis mngon 'gro la/_'khrid kyis mngon 'gro dang /_thun kyi mngon 'gro 2 su yod pa las/_logs su gsal bar byas la/_mthun mong ma yin pa'i sngon 'gro la mi yo 3 ldan zhes pa'o//_dbyen 3 zhes pa'o// rang babs rnams 3 zhes 'byung ba ltar/	bka' rgyud gong ma'i gsung gis bdud rtsi'i rgyun rang bab bzhugs/_ma'i rang zhal mngon byed pa'i/_zab mo'i zhal gyis gdams par yod pa'i tshe/_mi dbang yum sras gzhed pa bskang phyir phul/_zhes lcags pho stag gis lo/_dol bkra shis rnam rgyal du phyag rgya chen po'i lhan 1 skyes sbyor gyis 'khrid rtsug pa'i tshe/_ngag rgyun 'khyer bde ba 1 dgos gsung pa 4in/_thugs kyis dran pa gso ba'i phyir du bris pa shu b+haM//_ces pa 'di dpal ra lung gis yang dben spos skya bzim khang du/ 'brug pa rin po che ngag gi dbang phyug dang /_dpal ngag dbang nor bu zhes pa/ dpal ldan na ro paN chen gyis zhabs drung du/_bdag 'phrin las bkra shi rgyam mtsho 'i thebs pa lags so//_dge'o//_bkra shis so//		This may be by Padma dKar po but it is not clear. It is a bKa' brgyud pa meditation instruction on Mahāmūdra practice written (perhaps as a scribe) by 'Phrin las bKra shis rGya mtsho in 'Brug Ra lung, in presence or probably for 'Brug pa rin po che Ngag gi dBang phyug and Ngag dbang Nor bu.	
UkOxU_022_Manuscript__Tib__b__22_(R).xml	MS. Tibet. b. 22 (R)	325 ff	bo-Latn-x-EWTS	390 x 150	340 x 100	Tripiṭaka. Sūtrapiṭaka. Suvarṇaprabhāsasūtra		chart	black	dbu can		The verso of the first folio is written in gold on black background and has line designs on the left and right sides of the panel. The wood block cover is old and ornately carved with a figure of Vajrapani on the right and an unknown figure on the left. The cover has been sawed on the right so it seems to have belonged to another longer book originally.	good	6		The book has the volume marker ka		S.C. 33639, 33733. 25 Sept. 1905, donation by the Government of India. 	The sūtra of Golden Light	1			'phags pa gser 'od dam pa mdo sde'i dbang po'i rgyal po zhes bya ba theg pa chen po'i mdo[āryasuvarṇaprabhāsottamasūtrendrarājanāmamahāyānasūtra]	འཕགས་པ་གསེར་འོད་དམ་པ་མདོ་སྡེའི་དབང་པོའི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ			rgya gar skad du /_Ar+ya su bar+Na pra b+ha sa ud ta ma sU tra en drA ra dza na ma ma hA ya na sU tra/_bod skad du/_'phags pa gser 'od dam pa mdo sde'i dbang po'i rgyal po zhes bya ba theg pa chen po'i mdo/_'das pa dang ma byon pa dang de ltar byung ba'i sangs rgyas dang byang chub sems dpa' dang / rang sangs rgyas dang 'phags pa nyan thos thams cad la phyag 'tshal lo/ /	lha ma yin dang /_dri zar bcas pa'i 'jig rten yid rangs te/_bcom ldan 'das kyis gsungs pa la mngon par bstod do////_'phags pa gser 'od dam pa mdo sde'i dbang po'i rgyal po las/_'jug bsdus kyi le'u zhes bya ste/_nyi shu rtsa brgyad pa'o////_'phags pa gser 'od dam pa mdo sde'i dbang po'i rgyal po zhes bya ba theg pa chen po'i mdo rdzogs s+ho// //	rgya gar gyi mkhan po dzi na mi tra dang shi la en tra bo d+hi dang /_zhu chen gyi lo tsa ba ban d+he ye shes sde s zhus te skad sar gcad kyis kyang bcos nas tan la phab pa'o//		Derge: 0557 Peking: 0176
UkOxU_023_Manuscript__Tib__b__23_1_(R).xml	MS. Tibet. b. 23.1 (R)	3 ff	bo-Latn-x-EWTS	320 x 110	300 x 80	Ritual.		chart	black	dbu can			poor	6				S.C. 33640, 33734. 25 Sept. 1905, donation by the Government of India.	A catalogue for the publication of Thos grol chen mo	1	lha btsun dpal 'bar		dkar chab mthong ba don yod	དཀར་ཆབ་མཐོང་བ་དོན་ཡོད			oM sva sti//_do gnyis mthar phyin rdzogs pa'i sangs rgyas dang //_bden gnyis zung 'jug chags bral dam pa'i chos//_rig grol gnyis ldan 'phags pa'i dge 'dun te //_skyabs gnas dkon mchog gsum la phyag 'tshal lo//_'gro ba'i mgon gyur dpal ldan bla ma dang //_dngos grub kun stsol yi dam zhi khro dang //_bar chad kun sel mkha' 'gro chos skyong dang //_dgos 'dod 'char 'bebs nor lha'i tshogs la 'dud//	bstan srog rnam rgyal 'dzin pa'i chos skyong dbang po//_ma rig thogs med gzigs pa'i ye shes spyan ldan//_mi mthun lha mig 'joms pa'i bka' bstod bsrungs ma/ /_dam can rgya mtsho'i tshogs kyi bkra shis gnas 'dir stsol//_bkra shis/_dge legs 'phel//		This is a long catalogue written by mKhan chen Lha btsun dPal 'bar for the publication of Thos grol chen mo and Bar do gsol 'debs in Ra dkar house in Phu dmar Lung mchog. The scribe for the publication was Bya btang Rig 'dzin Chos dar and it was sponsored by the family of Ra dkar.	
UkOxU_030_Manuscript__Tib__b__23_2_(R).xml	MS. Tibet. b. 23.2 (R)	58 ff	bo-Latn-x-EWTS	295 x 105	280 x 80	Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā. Vajracchedikā.		chart	black	dbu can			good	5				S.C. 33640, 33734. 25 Sept. 1905, donation by the Government of India.	The Diamond Sūtra	1			mdo [āryavajracchedikānāmaprajñāpāramitāmahāyānasūtra]	དོ			//	am chos dge legs /			Derge: 0016 Peking: 0739
	MS. Tibet. b. 23.2 (R)	58 ff	bo-Latn-x-EWTS	295 x 105	280 x 80	Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā. Vajracchedikā.		chart	black	dbu can			good	5				S.C. 33640, 33734. 25 Sept. 1905, donation by the Government of India.	The Diamond Sūtra	1			phags pa shes rab kyi pha rol tu phyin pa rdo rje gcod pa zhes bya ba theg pa chen po'i mdo[āryavajracchedikānāmaprajñāpāramitāmahāyānasūtra]	འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ	rdor gcod	རྡོར་གཅོད	rgya gar skad du /_Ar+ya badz+ra ts+tshe da ka pradz+&A pa ra mi ta nA ma ma hA yA na sU tra/_bod skad du/_'phags pa shes rab kyi pha rol tu phyin pa rdo rje gcod pa zhes bya ba theg pa chen po'i mdo//_sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo//	rdo rje gcod pa'i snying po 'di lan cig bzlas pas rdo rje gcod pa khri dgu stong klag pa dang mnyam par 'gyur ro//_'dis mtshon dge bas ma gyur 'gro kun dang //_khyad par 'jig rten 'di nas sku bshags pa//_dpon spel slob dpon dam chos dge legs kyis//_mched du zhal bzhugs rnams kyi bzhengs pa'i dges//_thogs med nas bsags las nyon kun byang zhing //_gnas skabs mngon mtho lha mi'i go 'phang dang //_mthar thug rnam mkhyen rgyal sa zin phyir bsngo//_sar+ba mang+ga laM/ /			Derge: 0016 Peking: 0739
UkOxU_031_Manuscript__Tib__b__23_3_(R).xml	MS. Tibet. b. 23.3 (R)	27 ff	bo-Latn-x-EWTS	355 x 95	315 x 60	Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā. Vajracchedikā.		chart	black	dbu can			good	5		The book has the volume marker kha		S.C. 33640, 33734. 25 Sept. 1905, donation by the Government of India.	Benefits of The Diamond Sūtra	1			[āryavajracchedikānāmaprajñāpāramitāgunavodarasūtra]				/	/			TBRC: W19475
	MS. Tibet. b. 23.3 (R)	27 ff	bo-Latn-x-EWTS	355 x 95	315 x 60	Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā. Vajracchedikā.		chart	black	dbu can			good	5		The book has the volume marker kha		S.C. 33640, 33734. 25 Sept. 1905, donation by the Government of India.	Benefits of The Diamond Sūtra	1			'phags pa shes rab kyi pha rol tu phyin pa rdo rje gcod pa'i phan yon[āryavajracchedikānāmaprajñāpāramitāgunavodarasūtra]	འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་ཕན་ཡོན			rgya gar skad du /_Ar+ya badz+ra tstshe d+hi ka pradz+&A pA ra mi ta gu na ba do ra sU tra/_bod skad du/_'phags pa shes rab kyi pha rol tu phyin pa rdo rje gcod pa'i phan yon bshad pa'i mdo/_sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo//_'di skad bdag gis thos pa'i dus cig na//_sngon yul ya ba zhes bya ba na/_gtsug lag khang kha khyer gcig na btsun pa chos mkhas pa/_lo bcu nas dge slong gis khrims mnos pa cig mchis las/	de la brten nas yul phyogs 'di nyid du//_nad mug 'khrug btsod mi dge'i rgyun chad nas//_tshe dang bsod nams dpal 'byor snyan grags la//_zla ba yar gyi ngo bzhin rgyas par shog//_lhag par sbyin bdag sku tshe brtan//_mi mthun ma lus gzhi gyur nas//_mthun rkyen phun sum tshogs par shog// dgos su yig mkhan tshe ring zhing //_bsam pa'i don kun 'grub gyur nas/ /_bde ba can du skye bar shog//_bkra shis//			TBRC: W19475
UkOxU_026_Manuscript__Tib__b__23_4_(R).xml	MS. Tibet. b. 23.4 (R)	12 ff	bo-Latn-x-EWTS	360 x 100	320 x 60	Confession (Liturgy)		chart	black,red_	dbu can			good	5		The book has the volume marker ga		S.C. 33640, 33734. 25 Sept. 1905, donation by the Government of India.	The sūtra of Golden Razor	1			sdig bshags gser gyi spu gri	སྡིག་བཤགས་གསེར་གྱི་སྤུ་གྲི	sdig bshags	སྡིག་བཤགས	rgya gar skad du /_na maH sar+ba ta thA ga tA bud+d+hA shrI/_bod skad du/_sdig pa bshags pa'i mdo//_phyogs bcu dus gsum gyi sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo//_mchod pa 'bul zhing sdig pa bshags/_dge ba'i rtsa ba thams cad la rjes su yi rang ngo//_chos kyi 'khor lo bskor du gsol//	rgyal po'i rgyal khab shel dkar rgyal rtse'i 'dab//_rdzong mdun sa lha zhes bya'i sgrong nang nas//_kho bo tshe ring don grub kyis //_sgo gsum mi phyed sor rtse'i bzlos gar bsgyur//_'dis mtshon dus gsum dge tshogs la brten nas//_gnas skabs 'gal rkyen nyer 'tshe kun zhi nas//_mthar thug rnam mkhyen go 'phang thob par shog//_shu b+ha mastu sar+ba dza ga taM////_zhal gro//			
UkOxU_027_Manuscript__Tib__b__23_5_(R).xml	MS. Tibet. b. 23.5 (R)	26 ff	bo-Latn-x-EWTS	360 x 110	320 x 70	Intermediate state--Buddhism		chart	black,red_	dbu can			good	5				S.C. 33640, 33734. 25 Sept. 1905, donation by the Government of India.	The intermediate state of the wrathful deities	1	karma gling pa	ཀརྨ་གླིང་པ	khro bo'i bar do	ཁྲོ་བོའི་བར་དོ			da ni khro bo'i bar do 'char tshul bstan par bya ste/_de yang gong du zhi ba'i bar do la 'phrad rim pa bdun yod de/_de rnams la rim pa bzhin ngo sprad pas/ gcig la ngo ma 'phrod kyang gcig la 'phrod de grol ba thob pa ni dpag tu med pa 'byung ngo//_de ltar grol ba mang du byung yang sems can ni grangs mang las ngan ni tshan che/	'di ni thos nas log lta ma skyes pa kho nas grol bar nus so//_de'i phyir 'di la shin tu gces sras su bya'o//_'di ni chos thams cad kyi bcud yin no// bar do'i gdam pa thos pa tsam gyis grol ba///_ltas pa tsam gyis grol ba//_bar do thos grol chen mo zhes bya ba chos nyid bar do'i ngo sprod rdzogs s+ho////_oM AH huM ba dz+ra gu ru pad+ma sid+d+hi huM//_b+ha van+tu//_mang+ga laM//			TBRC: W29145
UkOxU_028_Manuscript__Tib__b__23_6.xml	MS. Tibet. b. 23.6 (R)	41 ff	bo-Latn-x-EWTS	365 x 115	320 x 70	Intermediate state--Buddhism		chart	black,red_	dbu can			good	5		The book has the volume marker ga		S.C. 33640, 33734. 25 Sept. 1905, donation by the Government of India.	The intermediate state of becoming	1	karma gling pa	ཀརྨ་གླིང་པ	srid pa bar do'i gsol 'debs	སྲིད་པ་བར་དོའི་གསོལ་འདེབས			bla ma yi dam lha tshogs la//_gus pas yid kyis phyag 'tshal lo//_bar do grol bar byin gyis rlobs//_bar do thos grol chen mo las/_chos nyid bar do gong du bstan/_'dir ni srid pa'i bar do yis//_gsal 'debs bya ba 'di skad do/ /_de yang gong du chos nyid bar do'i gsal 'debs mang du byas kyang / chos nyid kyi gom 'dris che ba dang /	sgom sgrub bya mi dgos pa'i chos ltas pas grol ba/_glags pas grol ba'i gdam pa zab mo sdig po che gseb lam la 'khrid pa'i gdam pa zab mo 'di khyi bdun gyi ded kyang /_tshig dang don ma brjed par byas nas/_'chi khar sangs rgyas pa'i man ngag dus gsum gyi sangs rgyas kyis btsal kyang 'di las lhag pa'i chos rnyed par mi srid do//_bar do'i gdams pa lus can grol bar byed pa/_bar do thos grol chen mo zhes bya ba zab pa'i nying khu rdzogs+ho//_mang+ga laM//			TBRC: W29145
UkOxU_035_Manuscript__Tib__b__24_2_(R).xml	MS. Tibet. b. 24.1 (R)	8 ff	bo-Latn-x-EWTS	360 x 70	320 x 45	Gter ma		chart	black	dbu med			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The sādhana manual for Wrathful Padmasambhava	1	'gyur med rdo rje	འགྱུར་མེད་རྡོ་རྗེ	ma hA gu ru drag por bsgrub pa'i 'phris kyi kha bskongs	མ་ཧཱ་གུ་རུ་དྲག་པོར་བསྒྲུབ་པའི་འཕྲིས་ཀྱི་ཁ་བསྐོངས	phris	ཕྲིས	snyigs ma mnga' bdo bstan pa'i mthar : mi rnams tshe thung longs spyod dbul : bdud rigs 'byung po rlung ltar 'tshub : ltas ngan cho 'phrul gdug rtsub che : de tshe skyabs byed gdam pa'i gnad : bdud 'dul pad+ma drag po yi : sgrub pa'i 'phris kha skongs su : zab mo'i lam rim 'di nyid gces :	phyi rabs 'gro la phan gdags phyir : yi ger bkod nas gter du sbas : skal ldan gcig gis 'don par shog : : sa ma ya : rgya rgya rgya : rig 'dzin 'gyur med rdo rje s bying mda' o dkar brag nas spyan drangs pa'o//_gcig zhus//			TBRC: W15
UkOxU_043_Manuscripts__Tib__b__24_10_(R).xml	MS. Tibet. b. 24.10 (R)	5 ff	bo-Latn-x-EWTS	270 x 55	240 x 40	Bkaʼ-brgyud-pa (Sect)		chart	black	dbu can			good	6				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	A exegetical treatise on the tantric path and practice	1			rdo rje bde skyid chen mo bzhugs so	རྡོ་རྗེ་བདེ་སྐྱིད་ཆེན་མོ་བཞུགས་སོ			rdo rje chen po'i snyan brgyud gsang ba'i nye lam mthun mongs ma yin pa snyams su len pa'i rim pa ni/_lta bas thag gcad pa dang /_sgom pas nyams su blang ba dang /_snyams su blang ba'i 'bras bu dang gsum du bsdus/_dang po lta bas thag bcad pa ni/_chos thams cad blo la ltos nas don dam dang kun rdzob gnyis su 'jog/	spyod pa 'jigs bral rdo rje'i mtshon cha la 'byor pa can gtsang sbra rnams gsum gyi sgo nas kun bzang gi skyod pa mthar phyung ba/_ku su li spyod yul bzhi'i sgo nas gsang spyod lam du slong ba/_nus ldan gyi gang zag rig pa'i brtul shugs la brten nas he ru ka'i rol pas 'da' ba/_sangs rgyas kha ma dngos grub kyi nyer rgyud phyogs las rnam rgyal gyi spyod pa rtsis kyi bzhi'o//		The text is a very articulate exegesis of tantric practices, closely related to bKa' rgyud pa tradition in its content. It is very scholarly and well laid out but it seems to be incomplete.	
UkOxU_044_Manuscripts_Tib__b__24_11.xml	MS. Tibet. b. 24.11 (R)	4 ff	bo-Latn-x-EWTS	355 x 60	25 x 40	Gter ma		chart	black	dbu med			good	5			The text has 7 sub-sections marked by alphabets Ka-Ja in red ink	S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	A ritual chanting used for prolongating a Bla ma's life	1			sum bu pa'i sbris pa ('grel pa)	སུམ་བུ་པའི་སྦྲིས་པ ༼འགྲེལ་པ༽			(Ka) kyai : rigs bzang lha'i bstun mo khyod : nged mkha' 'gro rnams la tshur bsan dang : khyod bod kyi yul las sdug pa med : nged mkha' 'gro'i yul las dga' ba med : mkha' 'gro'i yul las skyid pa med : ye shes dbyings kyi pho brang nas : 'ja' mtshon gur phug ling si lings : gnyis med mkha' ltar dag pa'i pho brang nas : me tog char bab si li li : mi mngon dbyings kyi pho brang nas : gser gyi lding khang ldem se ldem :	'khor ba'i skyon gyi yongs ma gos : bstan pa yun rings bsrungs pa'i phyir : khyed kyi bka' bzhin sgrub par bgyid : kyai sems can kun gyis mgon gyur bla ma rje : o rgyan mkha' spyod gnas su mi 'byon par : bod yul 'gro ba sems can don byed phyir : sku rten mthong ba kun grol 'di bzhengs la : bu slob sems can don du bod 'dir bzhugs : bu slob rnam dang 'gro ba sems can thams cad kyi don du lo brgya'i bar du bzhugs par dam bca'o :	1v1	The title on the title page is mistaken. This is not a commentary on The Thirty Verses. The text is a ritual liturgy written in beautiful verses. It is the song sung by the celestial dākinis supplicating the bla ma to leave Tibet and come over to their wonderful celestial realm. However, it ends with the verses stating that the bla ma has to stay in Tibet for the welfare of the sentient beings. The dākinis take his effigy as a substitute.	
UkOxU_059_Manuscript_Tib_b_24_26_(R).xml	MS. Tibet. b. 24.12 (R)	4 ff	bo-Latn-x-EWTS	380 x 80	360 x 45	Bkaʼ-brgyud-pa (Sect)		chart	black	dbu med			good	6				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	A brief liturgy for consecration	1	'jam dbyangs grags pa		rab gnas bsdus pa cig 'di na bzhugs	རབ་གནས་བསྡུས་པ་ཅིག་འདི་ན་བཞུགས			oM svasti/_rab gnas bsdus pa bya bar 'dod na/_bum pa gcig tu dri lnga/_mngar gsum zho /_'brus can/_'bru snag/_'bras yos sman sna/_rin chen rnams zhib tu btags pa dang chu gsum gnyis gang /_mgul 'ching ser po/_gzung thag rdo rje/_me long la dri bzang g+hi hang sbyar ba'i ye rd+har sbrul lugs du bris pa gos zung dkar po/_bgegs gtor gzhi ba gtor ma/_chu gnyis nyer spyod rnams dang yi dam gang yin gyi mchod gtor/	sngags mchod dang bstod pa dang bas 'dod ma dang /_phyag byar 'os pa bya/_gzhi bdag gtor ma bsngo/_yig brgya brje/_bsngo ba smon lam shes brjod/_yi dam gyis 'jug mchog sogs spyi 'gro ltar bya dgos/_bdag bskyed 'jig byed yin na/_'khyer bde nyung ngu bsdus pa 'di b+hikShu ma&+dzu sgo Sha kir+tis bgyis pa dge legs 'phel//_bkra shis//_dge'o//_1 zhus //		There is also a floating and torn leaf from a liturgy of wrathful guru.	
UkOxU_046_Manuscript_Tib__b__24_13.xml	MS. Tibet. b. 24.13 (R)	84 ff	bo-Latn-x-EWTS	355 x 70	320 x 50	Gter ma		chart	black	dbu med			good	7				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The quintessential practice manual for Vajrapani Drang song Loktri	1	bzhed pa rdo rje		gsang bdag drang srong lok+tri zhi khro'i bsnyen yig gces gnad mthar thug ces bya ba	གསང་བདག་དྲང་སྲོང་ལོཀྟྲི་ཞི་ཁྲོའི་བསྙེན་ཡིག་གཅེས་གནད་མཐར་ཐུག་ཅེས་བྱ་བ			zhi khro rigs brgya'i khyab bdag rdo rje 'chang //_thugs kyi rdo rjer bzhengs pa gsang ba'i bdag//_drang srong zhi khror shar ba'i lha tshogs la// 'dud do byang chub bar du skyong bar mdzod//_dus gsum rgyal ba kun 'dus pad+ma 'byung //_gdams pa'i srog 'dzin rdo rje thog med rtsal// bka' drin mtshungs med dam chos bzang po la//_dngos po kun gyis sgo nas phyag bgyi'o//	ces gsang bdag drang srong zhi khro'i bsnyen yig gces gnad mthar thug ces bya ba 'di ni snga gong nas rang nyid 'di lta bu zhig bsgrig 'dun mchis pa'i steng du nye char sde pa don yod kyi rigs brgyud las lha mchog 'di nyid la shin tu mos pas gus pa lhur len pa'i sngags spyod rdo rje sprin phung zhes bya bas don gnyer chen pos maN+Dal dang bcas bskul ba las yul byang phyogs kyi brgyud las zangs ri ka tshal gsang sngags gling du skyes pa'i rnal 'byor pa rje drung rin po che'i bka' rtags 'chang a bzhi pa bzhad pa'i rdo rje zhes bya bas rang lo so dgu par son pa shing mo yos kyi lo dbyug pas nye ba'i dmar phyogs kyi gral tshe dge bar mkha' 'gro'i 'du gnas theg mchog rnam grol gling gi sgom khang zung 'jug rnam rol du sbyar ba'i yi ge pa ni/_thig le mngon byung dang rdo rje gsang sngags dang rdo rje rin chen la sogs pas bgyis pa ste 'gro kun smin grol gyi lam la 'god pa'i rgyur gyur cig//_zhus rnam dag song ngo//_			
UkOxU_047_Manuscript_Tib__24_14.xml	MS. Tibet. b. 24.14 (R)	3 ff	bo-Latn-x-EWTS	355 x 70	320 x 55	Gter ma		chart	black	dbu med			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The liturgy of subduing the eight non-human spirits through Gu ru Drag po practice	1	'gyur med rdo rje	འགྱུར་མེད་རྡོ་རྗེ	ma hA gu ru drag por bsgrub pa'i lha srin dam 'degs	མ་ཧཱ་གུ་རུ་དྲག་པོར་བསྒྲུབ་པའི་ལྷ་སྲིན་དམ་འདེགས			ma 'ongs snyigs ma lnga bdo'i dus : byol nyog spyod pa brlang po der : de tshe gdug pa'i lha srin 'khrugs : lo nyes nad yams mu ge ldang : mi rung than ltas chos 'phrul rdol : 'gro rnams duH khas nyams thag tshe : bod kyi rje 'bangs thams cad kyis : lhag bsam 'dun pa gcig du dril :	dregs pa kun gyis 'da' mi nus : de phyir phyi rabs 'gro rnams la : 'di ni shin tu gces par bzung : pyang myang pying : rgya rgya rgya : .... rigs 'dzin 'gyur med rdo rje s bying mda' lo dkar brag nas spyan drangs pa'o//_gcig zhus//			
UkOxU_048_Manuscript_Tib__24_15.xml	MS. Tibet. b. 24.15 (R)	4 ff	bo-Latn-x-EWTS	350 x 75	310 x 50	Gter ma		chart	black	dbu med			good	4				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	Ritual for subjugation of evil rgyal po spirits through Gu ru Drag po practice	1	'gyur med rdo rje	འགྱུར་མེད་རྡོ་རྗེ	ma gu ru drag por bsgrub pa'i rgyal 'gong gnad 'bebs	མ་གུ་རུ་དྲག་པོར་བསྒྲུབ་པའི་རྒྱལ་འགོང་གནད་འབེབས			bskal pa dus kyi mtha' ma la : dam nyams sngags btsun brlang snying can : phal cher log pa'i smon lam mthus : dam sri rgyal 'gong 'byung por skye :	de phyir ma 'ongs don ceh dus : bka' rgyas thob nas gter du sbos : pyong spying spying : rgya rgya rgya : 'gro 'dul gter bdag gling pa s bying mda' o dkar brag nas spyan drangs pa'o//_bkra shis//			
UkOxU_049_Manuscript_Tib__24_16.xml	MS. Tibet. b. 24.16 (R)	17 ff	bo-Latn-x-EWTS	360 x 70	320 x 40	Gter ma		chart	black	dbu med			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	Ritual liturgy for the Khrag 'thung Padma Drag po practice	1			khrag 'thung pad+ma drag po'i las rim dngos grub char 'bebs zhes bya ba	ཁྲག་འཐུང་པདྨ་དྲག་པོའི་ལས་རིམ་དངོས་གྲུབ་ཆར་འབེབས་ཞེས་བྱ་བ			khrag 'thung pad+ma drag po'i las byang dngos grub char 'bebs zhes bya ba/_bla ma he ru kaH la phyag 'tshal lo//_rgyal kun rigs brgya'i khyab bdag pad+ma 'byung //_khrag 'thung dbang drag dkyil 'khor 'khor lo'i tshul//_ye shes gcig nyid du ma'i skur ston pa//_drin can bla ma'i zhabs kyi pad+mor 'dud//	de nyid mthu las mar gyur 'gro//_spyi dang shing shog bris rkos kyi//_grogs byed kun kyang bla med kyi//_gsang chen rdo rje'i don rtogs shog//_ces rnal 'byor spyod pa kun bzang klong grol gyi snying stobs kyi dam bca' brtan pos gter gsar bla ma zhi drag gi las byang sar du rkos pa'i tshe par du byang du rat+na bi dza ya s so/_ye d+dharmA he tu pra b+hA vA he tun+te ShAn ta thA ga to h+yo ba da ta/_te ShA&+tsa yo ni rod+d+ha e vaM bA dI ma hA shra ma Na : sar+ba mang+ga laM//			
